IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE
198.153.194.1 ,2/20/2020 2:21 PM,GMT,109.16,5.43,12,"Atlanta, GA",0,multi
198.153.194.1 ,2/21/2020 2:30 PM,GMT,105.91,5.51,10,"Atlanta, GA",0,multi
198.153.194.2,2/21/2020 4:30 PM,GMT,106.91,6.51,11,"Atlanta, GA",1,multi
198.153.194.2,2/21/2020 6:30 PM,GMT,107.91,7.51,12,"Atlanta, GA",2,multi
198.153.194.1 ,2/21/2020 8:30 PM,GMT,108.91,8.51,13,"Atlanta, GA",3,multi
198.153.194.1 ,2/21/2020 10:30 PM,GMT,109.91,9.51,14,"Atlanta, GA",4,multi
198.153.194.1 ,2/21/2020 11:30 PM,GMT,109.16,10.51,12,"Atlanta, GA",5,multi
198.153.194.1 ,2/22/2020 2:30 PM,GMT,105.91,11.51,10,"Atlanta, GA",6,multi
198.153.194.2,2/22/2020 4:30 PM,GMT,106.91,12.51,11,"Atlanta, GA",7,multi
198.153.194.2,2/22/2020 6:30 PM,GMT,107.91,13.51,12,"Atlanta, GA",8,multi
198.153.194.2,2/22/2020 8:30 PM,GMT,108.91,7.51,13,"Atlanta, GA",0,multi
198.153.194.2,2/22/2020 10:30 PM,GMT,109.91,8.51,14,"Atlanta, GA",0,multi
198.153.194.2,2/22/2020 11:30 PM,GMT,109.16,9.51,12,"Atlanta, GA",1,multi
198.153.194.2,2/23/2020 2:30 PM,GMT,12.76,2.19,10,"Atlanta, GA",2,multi
198.153.194.1 ,2/23/2020 2:30 PM,GMT,7.87,1.83,76,"Atlanta, GA",0,multi
198.153.194.2,2/23/2020 6:30 PM,GMT,17.56,3.43,88,"Atlanta, GA",0,multi
198.153.194.2,2/23/2020 8:30 PM,GMT,65.34,4.23,13,"Atlanta, GA",1,multi
198.153.194.1 ,2/23/2020 10:30 PM,GMT,78.34,6.51,12,"Atlanta, GA",2,multi
198.153.194.1 ,2/23/2020 11:30 PM,GMT,122.91,7.51,10,"Atlanta, GA",3,multi
198.153.194.2 ,2/23/2020 11:30 PM,GMT,123.91,8.51,11,"Atlanta, GA",4,multi
198.153.194.1 ,2/24/2020 4:30 PM,GMT,124.91,24.51,12,"Atlanta, GA",5,multi
198.153.194.2,2/24/2020 6:30 PM,GMT,125.91,25.51,13,"Atlanta, GA",6,multi
198.153.194.2,2/24/2020 8:30 PM,GMT,126.91,26.51,14,"Atlanta, GA",7,multi
,,,,,,, ,
